pmid,title,pub_year,cluster,domain,has_abstract
midus_doi_10_3390_bioengineering13030339,Stable longitudinal screening of latent physiological dysregulation from psychometric data using machine learning,2026,4,"Domain 4: health, social, daily, midlife",FALSE
midus_doi_10_1177_13591053251344741,Exploring the association between self-esteem and blood pressure: A cross-sectional and longitudinal investigation,2026,4,"Domain 4: health, social, daily, midlife",FALSE
midus_doi_10_1111_bjhp_70063,Do adults with cardiovascular disease risk show meaningful reactivity to physical activity measurement? Coordinated analysis across six studies,2026,8,"Domain 8: adults, older, middle, aged",FALSE
midus_doi_10_1016_j_psyneuen_2026_107795,"Religiosity, spiritual practices, and epigenetic aging: Insights from a population-based sample of middle-aged US adults",2026,8,"Domain 8: adults, older, middle, aged",FALSE
midus_doi_10_1080_13607863_2026_2664080,"E-selectin, but not CRP, partially mediates the association between metabolic indices and insulin resistance in older adults: A mediation analysis",2026,8,"Domain 8: adults, older, middle, aged",FALSE
midus_doi_10_1515_hmbci_2025_0055,Investigating the association between creatinine-adjusted urinary catecholamines and site-specific bone mineral density in older adults,2026,8,"Domain 8: adults, older, middle, aged",FALSE
midus_doi_10_19102_icrm_2026_17056,Systemic inflammation is associated with resting premature atrial and ventricular contractions in American older adults,2026,8,"Domain 8: adults, older, middle, aged",FALSE
midus_doi_10_1093_geronb_gbaf255,Grandparent caregiving and epigenetic aging among midlife and older adults in the United States,2026,8,"Domain 8: adults, older, middle, aged",FALSE
midus_doi_10_1057_s41270_024_00347_6,On the use of self-reports in marketing research: Insights about initial response biases from daily diary data,2026,4,"Domain 4: health, social, daily, midlife",FALSE
midus_doi_10_1177_13591053261424714,"Meaning in life and depression in serious head injury: Examining potential differences in coherence, purpose, and mattering",2026,5,"Domain 5: life, satisfaction, purpose, later",FALSE
midus_doi_10_1093_geronb_gbag071,Do all components of psychological well-being predict cognitive function? Journals of Gerontology,2026,3,"Domain 3: psychological, well, social, health",FALSE
midus_doi_10_1016_j_crbeha_2026_100206,Leisure activities are associated with physical and mental health,2026,4,"Domain 4: health, social, daily, midlife",FALSE
midus_doi_10_3390_healthcare14060725,Biopsychosocial and cultural determinants of functioning and healthcare outcomes in chronic non-cancer pain: An integrative review,2026,4,"Domain 4: health, social, daily, midlife",FALSE
midus_doi_10_1186_s40001_026_04362_4,Association between circulating antioxidant concentrations and bone mineral density in an adult population,2026,4,"Domain 4: health, social, daily, midlife",FALSE
midus_doi_10_1177_00221465251349818,"Spatial social polarization and cardiometabolic disease prevalence and incidence: What is the role of the neighborhood environment? Journal of Health and Social Behavior, 67(1), 47-64",2026,4,"Domain 4: health, social, daily, midlife",FALSE
midus_doi_10_1037_hea0001590,Mechanisms linking childhood harsh fathering to adult sons' health,2026,4,"Domain 4: health, social, daily, midlife",FALSE
midus_doi_10_1037_hea0001538,Life satisfaction moderates the impact of daily stressors on well-being and health,2026,5,"Domain 5: life, satisfaction, purpose, later",FALSE
midus_doi_10_1037_pag0000912,Interrelations between daily stress processes and Big Five personality trait changes over 20 years,2026,6,"Domain 6: personality, traits, studies, longitudinal",FALSE
midus_doi_10_1007_s40615_026_03032_9,Life sustaining well-being practices and physiological health among Black men,2026,5,"Domain 5: life, satisfaction, purpose, later",FALSE
midus_doi_10_1016_j_bbih_2026_101232,Discrepancies in loneliness and social isolation predict cognitive impairment through chronic disease burden,2026,4,"Domain 4: health, social, daily, midlife",FALSE
midus_doi_10_1007_s11357_026_02183_1,Revisiting the social frailty index in aging adults: Relevance and implications for an emerging construct,2026,8,"Domain 8: adults, older, middle, aged",FALSE
midus_doi_10_1097_PSY_0000000000001452,Perceived discrimination and immunological aging: A systematic review of cellular and molecular markers,2026,4,"Domain 4: health, social, daily, midlife",FALSE
midus_doi_10_1016_j_bbi_2026_106816,Discrimination and C-reactive protein across the life course: Findings from three national US cohorts,2026,5,"Domain 5: life, satisfaction, purpose, later",FALSE
midus_doi_10_1080_17439760_2025_2469515,The association between childhood parental connection and perceived social integration in adulthood: Mediation by adult self-acceptance,2026,4,"Domain 4: health, social, daily, midlife",FALSE
midus_doi_10_1037_hea0001618,Capturing wear in wear and tear: The negative-affect reactivity linked to discrimination is associated with biological age across two national samples of adults in the United States,2026,4,"Domain 4: health, social, daily, midlife",FALSE
midus_doi_10_1080_2153599X_2026_2617648,"Examining the associations between private religious practices, daily spiritual experiences, and cardiovascular stress reactivity",2026,4,"Domain 4: health, social, daily, midlife",FALSE
midus_doi_10_1080_26895269_2024_2447785,Reimagining menopause by expanding assumptions shaping research: A scoping review of gender and sexuality diverse people's experiences and expectations,2026,4,"Domain 4: health, social, daily, midlife",FALSE
midus_doi_10_1016_j_jad_2025_120387,Tracking positive emotions in the course of adult depression: A systematic scoping review of longitudinal studies,2026,4,"Domain 4: health, social, daily, midlife",FALSE
midus_doi_10_1080_00472778_2025_2465380,Psychological perspectives on faith-driven persistence in self-employment: The mediating role of mental health and well-being,2026,3,"Domain 3: psychological, well, social, health",FALSE
midus_doi_10_1016_j_ijpsycho_2026_113350,How does subjective social status get under the skin? A scoping review of associations with biomarkers of the primary stress systems,2026,4,"Domain 4: health, social, daily, midlife",FALSE
midus_doi_10_1007_s00421_025_05887_y,The interaction between exercise and sleep with heart rate variability: Cross-sectional study,2026,2,"Domain 2: sleep, quality, population, adults",FALSE
midus_doi_10_1080_00224499_2026_2627658,Trajectories of sexual self-efficacy in middle and later life: Do gender and time-varying contexts of marital and menopausal transitions matter? The Journal of Sex Research,2026,4,"Domain 4: health, social, daily, midlife",FALSE
midus_doi_10_1016_j_psychres_2026_117063,Depression-anxiety comorbidity network structure in Japanese and American midlife adults: A cross-cultural comparison using MIDUS and MIDJA,2026,8,"Domain 8: adults, older, middle, aged",FALSE
midus_doi_10_1016_j_jad_2026_122029,Temporal stability of depression symptom networks across cultures: Longitudinal analysis of MIDUS and MIDJA,2026,4,"Domain 4: health, social, daily, midlife",FALSE
midus_doi_10_3390_metabo16040265,Ceramide in type 2 diabetes and obesity: Modulation by nutrients and dietary patterns and opportunities to prevent and/or manage metabolic-related conditions,2026,4,"Domain 4: health, social, daily, midlife",FALSE
midus_doi_10_1080_13607863_2026_2648698,Depression and cognition: Is there a bidirectional relationship? Aging and Mental Health,2026,4,"Domain 4: health, social, daily, midlife",FALSE
midus_doi_10_1093_geroni_igaf133,"Does type or diversity of activities delay aging-related cognitive decline? Innovation in Aging, 10(2), Article igaf133",2026,8,"Domain 8: adults, older, middle, aged",FALSE
midus_doi_10_1016_j_bbih_2026_101194,The role of health behaviors in links between stress and epigenetic aging,2026,4,"Domain 4: health, social, daily, midlife",FALSE
midus_doi_10_1177_15248380261439146,Old scars don't hurt? A systematic review on the association between child maltreatment and adult social functioning,2026,4,"Domain 4: health, social, daily, midlife",FALSE
midus_doi_10_1111_bjhp_70044,"Loneliness, the immune system, and cardiovascular health: A systematic literature review",2026,4,"Domain 4: health, social, daily, midlife",FALSE
midus_doi_10_1080_09658211_2026_2617345,Work stress and perceived memory: Longitudinal insights from the job demand-control and effort-reward imbalance models,2026,4,"Domain 4: health, social, daily, midlife",FALSE
midus_doi_10_1177_08902070251356148,Life events and personality trait change: A coordinated data analysis,2026,6,"Domain 6: personality, traits, studies, longitudinal",FALSE
midus_doi_10_1016_j_psyneuen_2025_107714,Discrimination and allostatic load in black middle-aged and older adults: A systematic review and meta-analysis,2026,8,"Domain 8: adults, older, middle, aged",FALSE
midus_doi_10_1080_15366367_2026_2661304,Validating the chronic stress indicator: A data-driven framework for integrating physiological and socio-behavioral measures,2026,4,"Domain 4: health, social, daily, midlife",FALSE
midus_doi_10_1177_21568693241300627,"Neighborhood context, divine struggles, and psychological distress",2026,3,"Domain 3: psychological, well, social, health",FALSE
midus_doi_10_1080_10826084_2025_2570882,Persistent binge drinking predicts continuing alcohol problems in moderate drinkers,2026,4,"Domain 4: health, social, daily, midlife",FALSE
midus_doi_10_1093_geronb_gbag079,The moderating effects of perceived control on relationships between trauma exposure in childhood and cognitive health in adulthood,2026,4,"Domain 4: health, social, daily, midlife",FALSE
midus_doi_10_1016_j_jad_2026_121235,Social connectedness dimensions are associated with lower psychological distress among middle-aged Black Americans,2026,3,"Domain 3: psychological, well, social, health",FALSE
midus_doi_10_1002_jclp_70138,Developing a six-item short form of Ryff's psychological well-being measure: Demonstration of short form development using exhaustive search,2026,3,"Domain 3: psychological, well, social, health",FALSE
midus_doi_10_1111_psyp_70267,Co-use of tobacco and alcohol is associated with blunted blood pressure responses during stress: A prospective examination 9-14years later,2026,4,"Domain 4: health, social, daily, midlife",FALSE
midus_doi_10_3390_famsci2020014,Profiles of family functioning and their associations with physical and psychological health outcomes,2026,3,"Domain 3: psychological, well, social, health",FALSE
midus_doi_10_1007_s10902_026_01059_7,"How to flourish during the menopausal transition: A scoping review on emotional, social and psychological wellbeing",2026,3,"Domain 3: psychological, well, social, health",FALSE
midus_doi_10_1177_10422587261415935,Replication studies in entrepreneurship: Mapping current efforts and identifying future opportunities,2026,6,"Domain 6: personality, traits, studies, longitudinal",FALSE
midus_doi_10_1177_08982643261457481,"Embodied cognitive reserve in later life: Education, lifelong learning, and family-based social support as predictors of mortality in the Midlife in the United States (MIDUS) study",2026,4,"Domain 4: health, social, daily, midlife",FALSE
midus_doi_10_1016_j_rssm_2026_101151,The contingency of future vs,2026,4,"Domain 4: health, social, daily, midlife",FALSE
midus_doi_10_1016_j_bbi_2026_106806,Strategies for analyzing multiple inflammatory biomarkers: Impacts on the strength and replicability of findings in the MIDUS study,2026,4,"Domain 4: health, social, daily, midlife",FALSE
